ds,yhat,yhat_lower,yhat_upper
2025-10-03,257.52044636649254,207.61002972353882,310.5595878713487
2025-10-04,254.85560579541797,208.047259505726,301.0887372352785
2025-10-05,259.3891752535539,211.10187674612138,305.97716435615195
2025-10-06,274.4270840238946,225.9543503112798,318.8263159809101
2025-10-07,262.63762521310747,216.70542518059773,311.7185942877825
2025-10-08,284.93280909915006,237.33772363773755,334.68003830591385
2025-10-09,272.10216972611806,224.10585536813474,320.318772533849
2025-10-10,270.8503626897534,220.37931771918986,319.06866499065296
2025-10-11,268.43446296166303,219.319302274543,317.23968183084685
2025-10-12,273.21697326285965,226.5187326909915,322.76597413652956
2025-10-13,288.3652261341691,239.02592823372865,334.64428486696266
2025-10-14,276.6861114243923,228.8505334273744,326.295973491453
2025-10-15,299.09163941143794,250.0767783101826,347.1000526896932
2025-10-16,286.37134413939117,239.5870276537504,334.0622523684198
2025-10-17,285.2937767850312,236.7907618809628,330.95712248847383
2025-10-18,282.94177263800225,232.75755768257267,336.0530000356551
2025-10-19,287.7881785201241,236.44665166256206,330.4805099282126
2025-10-20,303.0003269724159,255.74641206268933,348.67448305695
2025-10-21,291.3851078436689,241.53498676253216,338.27405825302986
2025-10-22,313.85453171280614,267.8175772638761,367.7353169689048
2025-10-23,301.1981323227939,251.28954529611042,353.002641009746
2025-10-24,300.12056526953313,253.1636613099641,343.17379895848455
2025-10-25,297.7685614235687,250.68473713447696,338.57798163421376
2025-10-26,302.6149676067903,254.89990667137246,352.0840003425904
2025-10-27,317.82711636017257,273.4577373819612,366.1606170093357
2025-10-28,306.2118981847935,260.54179769100733,349.73024176413935
2025-10-29,328.68132270625347,282.9377820104315,378.0729942711671
2025-10-30,316.0249239685938,269.95884206701965,361.68191487267813
2025-10-31,314.9473575676443,263.69838109982146,360.74061400087254
2025-11-01,312.5953543739788,267.2207608918091,356.506865832811
2025-11-02,317.44176135454455,271.99340041886427,363.6066094953877
2025-11-03,332.65391090528124,284.94703645934743,379.7864709461719
2025-11-04,321.03869287499276,272.49904858831957,367.89508747356956
2025-11-05,343.5081175415247,295.27788952764325,391.5015299710878
2025-11-06,330.8517189488801,283.42860494413895,377.6830004551415
2025-11-07,329.77415269393447,283.74236643792636,378.4067520278943
2025-11-08,327.42214964624355,281.58264700768103,378.091291500302
2025-11-09,332.2685566277475,284.5977755636232,381.9491542985378
2025-11-10,347.4807061794462,298.30596095913745,396.88942881049707
2025-11-11,335.8654881500648,290.0277670096231,384.39338668114283
2025-11-12,358.33491281747513,308.2600789934452,404.40025201762495
2025-11-13,345.67851527907226,296.2435632524836,392.14096815051664
2025-11-14,344.6009500773552,294.6509623974121,393.5076708406472
2025-11-15,342.2489480828926,294.567627427574,388.86948284452257
2025-11-16,347.0953561176093,300.39028264051086,395.9776091985418
2025-11-17,362.3075067225308,314.0406516812947,408.72110218836895
2025-11-18,350.6922897144646,299.91301979461616,397.02439727447967
2025-11-19,373.1617154031719,323.05165736773023,418.2075970356819
2025-11-20,360.5053178327994,310.93632807090177,405.5973072328971
2025-11-21,359.42775259907205,311.1535254334403,407.49189324694885
2025-11-22,357.07575057272913,311.49423112343163,400.50962783604206
2025-11-23,361.92215857550474,320.69683355708844,409.5617665324641
2025-11-24,377.1343091484712,328.5196997239752,427.2780841273557
2025-11-25,365.5190921403844,321.0414676570895,414.56954733196443
2025-11-26,387.98851782908207,342.74712454404875,435.76648247776336
2025-11-27,375.3321202587074,328.6556743746156,422.4639026111858
2025-11-28,374.2545550250111,328.51799483328574,421.80981640014215
2025-11-29,371.90255299861445,327.7541549027859,421.7064680882863
2025-11-30,376.7489610014455,330.040596045308,424.1568265307001
2025-12-01,391.96111157438054,342.28852877652025,438.4217807626825
2025-12-02,380.3458945662875,332.7965436265014,426.74951608780276
2025-12-03,402.8153202549921,358.56343262973684,448.8103495383073
2025-12-04,390.15892268458435,344.4294962522524,438.2391186497224
2025-12-05,389.0813574509238,341.85526509411943,437.31832550081174
2025-12-06,386.7293554244944,341.5214745124243,432.27787870983786
2025-12-07,391.5757634273448,343.46623257874506,439.35097044296765
2025-12-08,406.7879140002899,358.85456096327556,453.59425943927516
2025-12-09,395.1726969921735,346.5656980891806,438.44028166576953
2025-12-10,417.64212268087863,374.10703386515246,465.66047647869675
2025-12-11,404.9857251104612,358.620928842789,452.55001517945664
2025-12-12,403.9081598768196,356.15005776504745,451.07663873655804
2025-12-13,401.55615785046837,351.94070401000187,447.36566192783897
2025-12-14,406.402565853244,357.08536478914726,454.8825117550786
2025-12-15,421.61471642617164,374.8901934731897,469.09712729548517
2025-12-16,409.9994994180849,358.0437199425273,455.3822280400344
2025-12-17,432.4689251068014,387.5582818143758,480.0431470236208
2025-12-18,419.81252753636926,373.2830824164351,470.08122252669364
2025-12-19,418.73496230271536,369.7452055353301,462.9380642144965
2025-12-20,416.3829602763483,368.3165562288884,463.1572557447936
2025-12-21,421.22936827914333,370.1182205159452,466.4272135308777
2025-12-22,436.4415188520533,389.01366897658727,483.8138072969946
2025-12-23,424.8263018440046,378.12010803639265,470.49891261588743
2025-12-24,447.29572753269883,399.01699801019436,496.9229152657102
2025-12-25,434.6393299622772,386.64595633015665,484.05126657969424
2025-12-26,433.561764728628,386.302447137128,484.14439253757337
2025-12-27,431.2097627022753,386.20571997802784,478.45629640712724
2025-12-28,436.056170705084,387.45715289270663,484.98214405910164
2025-12-29,451.26832127796274,401.2652475728843,498.0195572243778
2025-12-30,439.65310426991607,394.0952420221586,487.3233832285207
2025-12-31,462.12252995862167,414.14722538824464,513.1190298858339
2026-01-01,449.4661323882282,404.85208062332737,499.79092002235365
2026-01-02,448.38856715452374,401.4786076756346,494.8663168300539
2026-01-03,446.0365651281553,397.9045112203329,495.3185884474077
2026-01-04,450.88297313094176,402.4758429248874,498.4534139705426
2026-01-05,466.0951237039584,420.05643822611296,512.1686153194933
2026-01-06,454.4799066958019,405.9445076080633,501.7859102077921
2026-01-07,476.9493323845317,427.8984492534999,521.6279232587448
2026-01-08,464.292934814105,414.53365402410543,508.4640639771187
2026-01-09,463.21536958046283,417.45756311978516,513.5642782148484
2026-01-10,460.86336755408234,418.2801523695565,512.2838268080623
